col1,SOURCE_ID,solution_id,DESIGNATION,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,Gaia_G,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,Gaia_Bp,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,Gaia_Rp,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,original_psc_source_id,designation,allwise_oid,allwise_oid_2,Jmag,Hmag,Kmag,ph_qual,W1,W2,W3,W4,wise_phq,Gaia_G-Gaia_Bp,Gaia_G-Gaia_Rp,Gaia_Bp-Gaia_Rp,Jmag-Hmag,Jmag-Kmag,Hmag-Kmag,W1-W2,W1-W3,W1-W4,W2-W3,W2-W4,W3-W4,main_id,ra_x,dec_x,coo_err_maj,coo_err_min,coo_err_angle,otype,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra_x,pmdec_x,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B_x,V,R_x,J,H,K,u,g,r_xa,i,z,angDist
60831,5256531691037625600,1636148068921376768,Gaia DR3 5256531691037625600,5256531691037625600,1078340977,2016.0,151.54004627843474,0.010231209,-60.005088455886096,0.010222732,0.1801375091928994,0.010898303,16.52895,7.1583133,-6.419714006769115,0.0159532,3.1668160879671547,0.014378653,0.17573662,-0.00052839617,0.06385988,0.1955647,0.020842027,0.22612247,-0.19685745,0.0690572,0.14217736,0.17186308,317,317,315,2,-3.7498133,490.85596,0.05857431,3.9301467,31,True,1.5588185,,,,,,,,36,25,0.023094894,43,16,1,0.0172334,149.57341,0,0,0.85222983,,,,,,,,,False,355,320694.35922739824,736.2776,435.56177,11.922138,42,173138.51558501704,888.7769,194.80537,12.242558,41,218609.99022278347,1964.0652,111.304855,11.398721,1.2215635,0,0,0,0,0,0.8438368,0.3204193,0.5234175,,,,,,,,,,,,,,,,,,,,,,,VARIABLE,283.62135896615274,-3.4832513041033413,195.98784499706528,-62.793955458045055,False,False,0,True,True,False,True,False,True,True,False,2.434283e-08,5.28605e-09,0.99997616,31074.215,30867.467,31355.42,4.1095,4.0838,4.1376,-0.9985,-0.9996,-0.9962,3613.758,3518.124,3725.472,2.4814,2.4779,2.4854,2.3258,2.3223,2.33,1.2791,1.277,1.2815,OB,10060962-6000183,10060962-6000183,57083154,57083154,10.914,10.659,10.403,AAA,9.831,9.439,8.289,7.263,AAAA,-0.3204193,0.5234175,0.8438368,0.25499916,0.5109997,0.25600052,0.3919999999999994,1.5419999999999998,2.568,1.1500000000000004,2.176,1.0259999999999998,WRAY 15-499,151.5401033514,-60.0051025306,0.0,0.0,90.0, Em*,1,10 06 09.62480,-60 00 18.3691,A,2020yCat.1350....0G,EmLine*,*|Em*,,,,,,,0.1801,0.0109,-6.42,3.167,0.016,0.014,90.0,,,,,12.2,,,,,,,,,,0.114533
88352,6044964609958747392,1636148068921376768,Gaia DR3 6044964609958747392,6044964609958747392,358366052,2016.0,246.0386710492618,0.019384965,-28.372655058560568,0.012106323,0.4148597520363811,0.021527657,19.271013,9.166071,-2.923636808588029,0.028030828,-8.687301457661453,0.020636968,-0.13001095,0.006896742,-0.19797549,-0.045013044,-0.16031276,-0.009858652,0.05531459,-0.1309893,-0.09656944,-0.10626381,245,245,243,2,1.0058991,567.051,0.11232649,12.0993805,31,True,1.3412819,,,,,,,,28,16,0.03925867,32,8,2,0.21136054,82.917885,0,0,1.0450362,,,,,,,,,False,262,1592693.2778113384,23324.988,68.28271,10.182036,30,406043.4814118778,23740.531,17.103386,11.317111,29,1794195.9515965856,62355.445,28.773685,9.113221,1.3814584,0,0,0,0,0,2.2038898,1.1350746,1.0688152,-174.3748,2.5302215,1.0,12.0,4.0,8.0,125.62401,37.934803,0.0,478.67676,22.63948,4500.0,1.5,-0.25,111.0,16.751707,4.3163304,6.0,8.740457,0.07029028,6.0,139.89737,NOT_AVAILABLE,349.647937311444,14.632891470880924,248.91391427081604,-6.670525821078623,False,False,0,True,True,True,False,False,True,True,False,1.0248945e-13,5.1192964e-13,0.9999538,4975.426,4942.556,5010.3735,1.5458,1.5322,1.5582,0.0012,-0.0166,0.0303,2507.649,2486.4888,2534.1104,2.3278,2.2968,2.3566,1.718,1.6932,1.7419,0.9128,0.8991,0.926,MARCS,16240928-2822216,16240928-2822216,215257248,215257248,7.533,6.816,6.565,AAA,6.16,5.768,5.462,5.137,AAAA,-1.1350746,1.0688152,2.2038898,0.717,0.96799994,0.25099993,0.3920000000000003,0.6980000000000004,1.0230000000000006,0.306,0.6310000000000002,0.3250000000000002,V* V869 Sco,246.0386858172,-28.3726164484,0.0,0.0,90.0, LP?,6,16 24 09.28460,-28 22 21.4192,A,2020yCat.1350....0G,LongPeriodV*_Candidate,*|LP?|NIR|V*,-173.572,0.217,-0.0005788,7e-07,,,0.4149,0.0215,-2.924,-8.687,0.028,0.021,90.0,,,,12.31,10.81,,7.533,6.816,6.565,,,,,,0.146657
92966,4135667100744921728,1636148068921376768,Gaia DR3 4135667100744921728,4135667100744921728,599840012,2016.0,257.4461110819046,0.013220991,-16.88018002744926,0.008605873,0.181901232871216,0.016847862,10.796696,11.5186615,-8.663154966735325,0.018910404,-7.591397302502885,0.013837683,-0.0835537,-0.19465312,0.0526527,-0.32148197,-0.29345283,-0.08471351,-0.25735113,-0.38742188,0.40600923,-0.34385404,296,296,296,0,-3.211539,376.52197,0.03994056,1.8002717,31,False,1.432764,,,,,,,,33,15,0.028230531,33,13,0,0.1342573,14.94064,0,0,0.868783,,,,,,,,,False,295,1043828.91158783,7919.4067,131.80646,10.640794,30,419893.8123720706,10121.943,41.483517,11.280693,32,922351.3984587764,18022.04,51.17908,9.835654,1.2858862,0,0,0,0,0,1.4450388,0.63989925,0.80513954,-10.035442,1.4352782,1.0,13.0,8.0,10.0,81.990776,8.086919,0.0,915.6392,14.655472,5000.0,1.0,-0.75,444.0,,,,9.524809,0.052867133,4.0,,VARIABLE,5.654368412210601,13.478129319695366,257.9273720926218,6.0345266946929685,False,False,0,True,True,False,True,False,False,True,False,1.02079186e-13,5.098804e-13,0.9999944,,,,,,,,,,,,,,,,,,,,,,,17094708-1652486,17094708-1652486,283810527,283810527,8.775,8.351,8.124,AAA,7.923,7.539,7.041,6.517,AAAA,-0.63989925,0.80513954,1.4450388,0.4239998,0.651,0.22700024,0.3840000000000003,0.8819999999999997,1.4059999999999997,0.4979999999999993,1.0219999999999994,0.524,2MASS J17094708-1652486,257.4461513184,-16.8801462879,0.0,0.0,90.0, LP*,1,17 09 47.07632,-16 52 48.5266,A,2020yCat.1350....0G,LongPeriodV*,*|C*?|LP*|NIR,-12.78,3.62,-4.26e-05,1.21e-05,,,0.1819,0.0168,-8.663,-7.591,0.019,0.014,90.0,,,,12.27,10.91,,8.775,8.351,8.124,,,,,,0.184299
15547,463443021536638720,1636148068921376768,Gaia DR3 463443021536638720,463443021536638720,632916205,2016.0,49.938245691645285,0.022448659,61.79860934404825,0.027949851,1.0094153878198304,0.0357551,28.231367,0.7757519,-0.504818508942119,0.034769904,-0.5890240270851337,0.041259214,0.082995474,0.045021523,-0.2279894,0.17572036,-0.021367596,0.13320631,0.19815052,0.029854031,0.17886971,-0.021590771,372,0,370,2,-0.01700129,375.41943,0.0,0.0,31,False,1.3956139,,,,,,,,43,22,0.05776181,48,13,0,0.013776033,169.60454,0,0,0.9984579,0.36241412,0.23639919,0.20367879,0.03175161,-103.77479,-81.10155,26.24658,1.0701321,False,397,9183.00005546914,56.157444,163.5224,15.779905,43,3269.000484558976,68.07527,48.020382,16.552505,45,8675.1534512927,142.38478,60.927532,14.902203,1.300681,0,0,0,0,0,1.6503029,0.7726002,0.8777027,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,139.52353183633682,3.802080654163361,65.97680047528192,41.65932787206466,False,False,0,True,False,False,False,False,True,True,False,1.6329108e-13,1.0895704e-11,0.9999844,4999.9595,4972.466,5025.809,4.1905,4.1783,4.1979,-0.7838,-0.7954,-0.7614,897.6118,882.6259,913.6557,1.5309,1.5056,1.5531,1.1738,1.1535,1.1918,0.6399,0.6286,0.6498,MARCS,03194518+6147548,03194518+6147548,701487589,701487589,13.629,12.927,12.675,AAA,12.304,11.909,9.135,7.045,AAAA,-0.7726002,0.8777027,1.6503029,0.70199966,0.9539995,0.25199986,0.3949999999999996,3.1690000000000005,5.259,2.774000000000001,4.864000000000001,2.09,Gaia DR2 463443021536638720,49.9382491936,61.798611294,0.0,0.0,90.0, Em*,1,03 19 45.17981,+61 47 55.0007,A,2018yCat.1345....0G,EmLine*,*|Em*,,,,,,,1.0079,0.0417,-0.366,-0.439,0.052,0.066,90.0,,,,,,,,,,,,15.706,14.926,,0.009207
41518,3045715657842273920,1636148068921376768,Gaia DR3 3045715657842273920,3045715657842273920,878870547,2016.0,106.32161110090593,0.027265668,-12.306946119737834,0.027777093,0.9438412942748212,0.03249827,29.042816,4.0755973,-3.902804063103126,0.033958383,1.174144033480894,0.037387505,0.04476135,0.085293606,0.018282516,0.0868686,-0.18608022,0.06154592,0.05593748,-0.036585957,0.19898787,-0.09391482,197,0,197,0,2.6610107,251.63649,0.09915652,1.5840147,31,False,1.3708789,,,,,,,,23,17,0.052846916,25,8,0,0.045078076,98.43584,0,0,1.1370101,0.24374153,0.017953655,0.14958419,0.68967485,-61.54659,-38.228218,-47.362667,-41.14567,False,196,15385.488173143343,61.56896,249.89035,15.219588,23,4845.247251825102,77.12544,62.82294,16.125252,21,16098.998818480502,191.76619,83.95119,14.230898,1.3612988,0,2,0,0,0,1.8943539,0.9056635,0.9886904,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,225.45424482270505,-2.560951817329885,109.49714507177237,-34.64805419261806,False,False,0,False,False,False,False,False,False,True,False,1.02277575e-13,5.1945413e-11,0.9999747,,,,,,,,,,,,,,,,,,,,,,,07051718-1218250,07051718-1218250,311339801,311339801,12.559,11.732,11.481,AAA,10.978,10.6,6.984,2.662,AAAA,-0.9056635,0.9886904,1.8943539,0.82699966,1.0780001,0.2510004,0.3780000000000001,3.994,8.315999999999999,3.616,7.938,4.322,Gaia DR3 3045715657842273920,106.3216288547,-12.3069513382,0.0,0.0,90.0,   *,3,07 05 17.19093,-12 18 25.0248,A,2020yCat.1350....0G,Star,*,,,,,,,0.9438,0.0325,-3.903,1.174,0.034,0.037,90.0,,,,,,,,,,,,,,,0.06521
105518,5867954336129027072,1636148068921376768,Gaia DR3 5867954336129027072,5867954336129027072,1486049166,2016.0,211.77702241696136,0.008964855,-58.99509951751213,0.010595409,0.5645079144498143,0.014831309,38.061905,8.027304,-7.154520989142169,0.012652707,-3.640113955227597,0.017172905,0.3479109,-0.066557415,0.034260005,0.111237064,0.018895242,0.07611874,0.15426564,-0.14246656,0.050362393,0.1435737,524,524,513,11,2.5193183,1222.8953,0.09918055,14.5169935,31,True,1.5558395,,,,,,,,61,22,0.024112996,68,20,0,0.01599268,154.33218,0,0,1.0793971,,,,,,,,,False,543,310117.4771497916,46.961464,6603.6587,11.958551,63,167298.0901957458,77.15808,2168.251,12.279815,62,206340.62120635688,67.04684,3077.5593,11.461433,1.2048296,0,0,0,1,0,0.8183813,0.3212633,0.497118,-23.701124,5.0416303,1.0,16.0,4.0,10.0,33.707333,1.7938557,0.04492112,710.92206,59.52647,7500.0,4.0,0.5,555.0,156.90042,67.83107,11.0,11.233924,0.012780642,11.0,,NOT_AVAILABLE,312.55443880386497,2.455671173413076,233.4090565987721,-42.72592307079683,False,False,0,True,True,False,False,False,False,True,False,1.02202636e-13,5.10497e-13,0.9999822,,,,,,,,,,,,,,,,,,,,,,,14070650-5859422,14070650-5859422,60844796,60844796,10.88,10.581,10.333,AAA,9.663,9.267,7.432,6.445,AAAA,-0.3212633,0.497118,0.8183813,0.2989998,0.54699993,0.24800014,0.3960000000000008,2.231,3.218,1.834999999999999,2.821999999999999,0.987,2MASS J14070650-5859422,211.777084147,-58.9950833392,0.0,0.0,90.0,   *,1,14 07 06.50020,-58 59 42.3000,A,2020yCat.1350....0G,Star,*|NIR,,,,,,,0.5645,0.0148,-7.155,-3.64,0.013,0.017,90.0,,,,,,,10.88,10.581,10.333,,,,,,0.128437
5313,3442653713538990848,1636148068921376768,Gaia DR3 3442653713538990848,3442653713538990848,833805288,2016.0,84.74173566806219,0.02582171,28.46011930472176,0.020711128,0.5661920023807501,0.029978845,18.886385,3.9286277,-0.1717867014130132,0.033170696,-3.924870167213984,0.021229928,-0.0012895702,0.10722717,-0.06410328,-0.04128987,-0.2833946,-0.04669264,-0.6621814,0.15993984,0.33715913,-0.084486336,363,363,354,9,13.493368,2248.4277,0.21018912,59.265236,31,True,1.6485755,,,,,,,,41,17,0.046112858,41,23,2,0.12393623,173.92516,0,0,1.5509033,,,,,,,,,True,358,8860663.616897587,21961.736,403.45917,8.318701,38,5493269.646535441,28589.812,192.14081,8.488965,38,5140318.781828221,53165.816,96.68466,7.9704204,1.2000893,0,32,0,37,0,0.5185447,0.17026424,0.34828043,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,179.63566649760858,-1.4907676910973595,85.36024482807767,5.105488077671941,True,False,0,True,True,False,False,False,True,True,False,0.005404228,4.2173964e-10,8.275953e-06,35449.656,35425.766,35462.19,3.9008,3.8988,3.904,0.0004,0.0,0.0015,1733.6787,1722.0059,1740.2344,1.8879,1.8867,1.8891,1.8194,1.8184,1.8206,0.9986,0.998,0.9992,OB,05385801+2827364,05385801+2827364,549113422,549113422,7.423,7.269,7.021,AAA,6.85,6.472,5.201,3.063,AAAA,-0.17026424,0.34828043,0.5185447,0.1539998,0.40199995,0.24800014,0.3779999999999992,1.649,3.787,1.2710000000000008,3.4090000000000003,2.1379999999999995,HD  37318,84.7417365365,28.4601367486,0.0,0.0,90.0, Be*,60,05 38 58.01677,+28 27 36.4923,A,2020yCat.1350....0G,Be*,*|Be*|Em*|NIR|UV|V*,-4.2,7.4,-1.4e-05,2.47e-05,B1Vne,,0.5662,0.03,-0.172,-3.925,0.033,0.021,90.0,,,,8.66,8.41,,7.423,7.269,7.021,,,,,,0.062858
154693,4503923575313247616,1636148068921376768,Gaia DR3 4503923575313247616,4503923575313247616,450662343,2016.0,280.9644458543424,0.013070325,10.71312373922274,0.014898163,0.2812894385160955,0.016084649,17.488068,14.921001,6.63028576660314,0.018270891,-13.36695942709189,0.018735291,0.26097995,0.016385058,-0.26332664,-0.41699207,0.05700756,-0.45774978,-0.48375577,-0.16308233,-0.20111704,0.31109124,330,330,324,6,0.93310875,690.04675,0.09764537,9.965212,31,False,1.3561254,,,,,,,,37,18,0.031447086,42,15,2,0.026365852,84.73759,1,0,1.0361111,,,,,,,,,False,370,2244015.732734869,12109.251,185.31416,9.809802,40,700030.0632965268,15085.743,46.40342,10.725751,39,2261282.044100784,29543.06,76.5419,8.862009,1.3196485,0,0,0,0,0,1.8637419,0.91594887,0.947793,-64.784256,2.24804,1.0,12.0,3.0,7.0,140.72629,28.228443,0.0,654.7094,17.98793,4500.0,2.5,-0.75,444.0,,,,8.434299,0.037732407,4.0,,VARIABLE,41.65206198064485,6.527566968747061,282.9751749230629,33.65985775071277,False,False,0,True,True,False,True,False,False,True,False,1.0215535e-13,5.102609e-13,0.9999868,4681.3853,4678.8984,4685.4707,0.9342,0.9315,0.936,-1.2163,-1.2299,-1.2105,5934.0107,5921.4917,5951.1445,1.4206,1.4153,1.4269,1.0583,1.0544,1.063,0.5696,0.5674,0.5722,MARCS,18435145+1042475,18435145+1042475,448401699,448401699,7.444,6.998,6.768,AAA,6.611,6.232,6.042,5.621,AAAA,-0.91594887,0.947793,1.8637419,0.44599962,0.67599964,0.23000002,0.3789999999999995,0.569,0.9899999999999992,0.1900000000000004,0.6109999999999998,0.4209999999999994,2MASS J18435145+1042475,280.9644158637,10.7131831479,0.0,0.0,90.0, LP*,1,18 43 51.45981,+10 42 47.4593,A,2020yCat.1350....0G,LongPeriodV*,*|LP*|NIR,-67.3,2.8,-0.0002245,9.3e-06,,,0.2813,0.0161,6.63,-13.367,0.018,0.019,90.0,,,,11.57,10.33,,7.444,6.998,6.768,,,,,,0.238736
8275,181458043226600704,1636148068921376768,Gaia DR3 181458043226600704,181458043226600704,1763632925,2016.0,78.63544804756346,0.033469506,32.78139723842594,0.020107403,0.7882138560863395,0.034682542,22.726532,2.5723965,-0.0517301951790238,0.04195529,-2.5718762938168163,0.029886397,0.045435242,0.08890464,-0.16534892,0.16183612,-0.10313142,0.09646297,-0.6110034,0.11061668,0.22137348,0.08937229,541,0,540,1,1.8902357,622.90265,0.05301349,0.48527962,31,False,1.4466716,,,,,,,,63,18,0.0586249,63,43,0,0.009829727,90.706154,0,0,1.0577043,0.3749839,0.6550113,0.43427017,0.22566555,-177.92593,-7.569624,56.39523,-14.093588,False,530,9886.416544886184,3.1712413,3117.5227,15.69977,59,4152.36225226887,13.351855,310.99515,16.292805,58,8474.595050220487,12.708664,666.83606,14.927598,1.2772026,0,2,0,0,0,1.3652067,0.59303474,0.772172,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,173.11577449888506,-3.4470312590708425,80.32360964939602,9.723067015712276,False,False,0,True,False,False,False,False,True,True,False,1.02082297e-13,1.8819701e-10,0.9999941,6385.741,6357.2896,6421.4473,4.158,4.1075,4.2127,-1.6769,-1.8053,-1.5579,1193.7401,1117.0916,1264.7239,1.719,1.7044,1.7366,1.4044,1.3916,1.42,0.7769,0.7696,0.786,MARCS,05143250+3246531,05143250+3246531,572271977,572271977,13.858,13.341,13.093,AAA,12.461,12.062,8.542,6.891,AAAA,-0.59303474,0.772172,1.3652067,0.5170002,0.7649994,0.24799919,0.3990000000000009,3.919000000000001,5.57,3.52,5.170999999999999,1.6509999999999998,Gaia DR2 181458043226600704,78.635448321,32.781408669,0.0,0.0,90.0, Em*,5,05 14 32.50760,+32 46 53.0712,A,2020yCat.1350....0G,EmLine*,*|Em*,,,,,,,0.7882,0.0347,-0.052,-2.572,0.042,0.03,90.0,,,,,,,,,,,,15.582,14.898,,0.041158
17676,414196617287885312,1636148068921376768,Gaia DR3 414196617287885312,414196617287885312,412351018,2016.0,18.996040698840275,0.010982572,59.15394486765568,0.012779636,0.3391933399322079,0.01803902,18.803314,2.5224917,-2.462583266863009,0.014893881,-0.546486466252775,0.016773285,-0.34591636,0.0017582312,-0.052583814,-0.08909845,-0.014215352,-0.11608934,0.13279778,0.081863806,-0.016592175,-0.4539844,641,641,627,14,3.016923,2862.1953,0.16365011,50.39248,31,False,1.5917246,,,,,,,,73,29,0.026642807,88,24,1,0.04994356,74.75406,0,0,1.0861942,,,,,,,,,False,752,513008.06079407193,1245.4362,411.91037,11.412056,83,294137.64235154743,1616.6094,181.94725,11.667166,85,330135.4563705096,3484.5432,94.74282,10.951165,1.2168875,0,0,0,0,0,0.71600056,0.2551098,0.46089077,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,126.08000772759438,-3.5676859152271287,45.57471066608155,46.16315686761047,False,False,0,True,True,False,False,False,True,True,False,1.2519158e-08,2.1147175e-09,0.99997115,19986.332,19964.18,19996.055,3.6443,3.6411,3.6485,-0.6929,-0.7503,-0.6562,3091.4985,3069.561,3105.7588,1.9529,1.9517,1.9545,1.8312,1.83,1.8326,1.0,0.9993,1.0008,A,01155905+5909141,01155905+5909141,692530586,692530586,9.965,9.73,9.486,AAA,9.599,9.224,8.126,7.212,AAAA,-0.2551098,0.46089077,0.71600056,0.23500061,0.4790001,0.24399948,0.375,1.4730000000000008,2.3870000000000005,1.0980000000000008,2.0120000000000005,0.9139999999999996,EM* AS   14,18.9960620449,59.1539472965,0.0,0.0,90.0, HXB,21,01 15 59.05489,+59 09 14.2103,A,2020yCat.1350....0G,HighMassXBin,*|Em*|EmO|HXB|NIR|UV|X,,,,,B2,,0.3392,0.018,-2.463,-0.546,0.015,0.017,90.0,,,,11.79,11.36,,9.965,9.73,9.486,,,,,,0.04036
